2026-03-14 14:04:23 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260314.log
2026-03-14 14:04:23 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-14 14:08:58 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260314.log
2026-03-14 14:08:58 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-14 14:27:16 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260314.log
2026-03-14 14:27:16 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-14 14:30:09 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260314.log
2026-03-14 14:30:09 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-14 14:30:14 | src.utils.logger_setup | INFO     | extract_and_validate_vision_data:932 | Vision data validated: {'rpm': 5000, 'speed': 119, 'load': 0, 'temp': 100, 'dtc': 'P0100'}
2026-03-14 14:30:14 | src.utils.logger_setup | INFO     | log_execution_time:108 | ⏱️ Vision_Extraction took 4779.24ms
2026-03-14 14:30:15 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260314.log
2026-03-14 14:30:15 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-14 14:30:28 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260314.log
2026-03-14 14:30:28 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-14 14:34:47 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260314.log
2026-03-14 14:34:47 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-14 14:35:16 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260314.log
2026-03-14 14:35:16 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-14 14:35:19 | src.utils.logger_setup | INFO     | extract_and_validate_vision_data:941 | Vision data validated: {'rpm': 5000, 'speed': 119, 'load': 0, 'temp': 100, 'dtc': 'P0100'}
2026-03-14 14:35:19 | src.utils.logger_setup | INFO     | log_execution_time:108 | ⏱️ Vision_Extraction took 3224.09ms
2026-03-14 14:35:19 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260314.log
2026-03-14 14:35:19 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-14 14:35:26 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260314.log
2026-03-14 14:35:26 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-14 14:35:47 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260314.log
2026-03-14 14:35:47 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-14 14:35:56 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260314.log
2026-03-14 14:35:56 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-14 14:36:04 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260314.log
2026-03-14 14:36:04 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-14 14:36:15 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260314.log
2026-03-14 14:36:15 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-14 14:36:37 | src.utils.logger_setup | INFO     | log_execution_time:108 | ⏱️ Agent_Execution took 16360.25ms
2026-03-14 14:36:37 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260314.log
2026-03-14 14:36:37 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-14 14:37:43 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260314.log
2026-03-14 14:37:43 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-14 14:38:27 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260314.log
2026-03-14 14:38:27 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-14 14:38:31 | src.utils.logger_setup | INFO     | extract_and_validate_vision_data:941 | Vision data validated: {'rpm': 5000, 'speed': 119, 'load': 0, 'temp': 100, 'dtc': 'P0100'}
2026-03-14 14:38:31 | src.utils.logger_setup | INFO     | log_execution_time:108 | ⏱️ Vision_Extraction took 3783.56ms
2026-03-14 14:38:31 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260314.log
2026-03-14 14:38:31 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-14 14:38:39 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260314.log
2026-03-14 14:38:39 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-14 14:38:46 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260314.log
2026-03-14 14:38:46 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-14 14:38:51 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260314.log
2026-03-14 14:38:51 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-14 14:38:58 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260314.log
2026-03-14 14:38:58 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-14 14:39:00 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260314.log
2026-03-14 14:39:00 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-14 14:39:05 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260314.log
2026-03-14 14:39:05 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-14 14:39:26 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260314.log
2026-03-14 14:39:26 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-14 14:39:28 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260314.log
2026-03-14 14:39:28 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-14 14:39:32 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260314.log
2026-03-14 14:39:32 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-14 14:39:39 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260314.log
2026-03-14 14:39:39 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-14 14:39:46 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260314.log
2026-03-14 14:39:46 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-14 14:40:26 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260314.log
2026-03-14 14:40:26 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-14 14:40:27 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260314.log
2026-03-14 14:40:27 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
