2026-03-31 11:13:58 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data/logs/diagnostic_platform_20260331.log
2026-03-31 11:13:58 | src.utils.logger_setup | INFO     | <module>:803 | Enhanced application started
2026-03-31 11:14:54 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data/logs/diagnostic_platform_20260331.log
2026-03-31 11:14:54 | src.utils.logger_setup | INFO     | <module>:803 | Enhanced application started
2026-03-31 11:15:04 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data/logs/diagnostic_platform_20260331.log
2026-03-31 11:15:04 | src.utils.logger_setup | INFO     | <module>:803 | Enhanced application started
2026-03-31 11:15:09 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data/logs/diagnostic_platform_20260331.log
2026-03-31 11:15:09 | src.utils.logger_setup | INFO     | <module>:803 | Enhanced application started
2026-03-31 11:15:19 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data/logs/diagnostic_platform_20260331.log
2026-03-31 11:15:19 | src.utils.logger_setup | INFO     | <module>:803 | Enhanced application started
2026-03-31 11:18:31 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data/logs/diagnostic_platform_20260331.log
2026-03-31 11:18:31 | src.utils.logger_setup | INFO     | <module>:803 | Enhanced application started
2026-03-31 11:18:35 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data/logs/diagnostic_platform_20260331.log
2026-03-31 11:18:35 | src.utils.logger_setup | INFO     | <module>:803 | Enhanced application started
2026-03-31 11:18:47 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data/logs/diagnostic_platform_20260331.log
2026-03-31 11:18:47 | src.utils.logger_setup | INFO     | <module>:803 | Enhanced application started
2026-03-31 11:18:51 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data/logs/diagnostic_platform_20260331.log
2026-03-31 11:18:51 | src.utils.logger_setup | INFO     | <module>:803 | Enhanced application started
2026-03-31 11:18:56 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data/logs/diagnostic_platform_20260331.log
2026-03-31 11:18:56 | src.utils.logger_setup | INFO     | <module>:803 | Enhanced application started
2026-03-31 11:18:59 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data/logs/diagnostic_platform_20260331.log
2026-03-31 11:18:59 | src.utils.logger_setup | INFO     | <module>:803 | Enhanced application started
2026-03-31 11:19:03 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data/logs/diagnostic_platform_20260331.log
2026-03-31 11:19:03 | src.utils.logger_setup | INFO     | <module>:803 | Enhanced application started
2026-03-31 11:19:04 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data/logs/diagnostic_platform_20260331.log
2026-03-31 11:19:04 | src.utils.logger_setup | INFO     | <module>:803 | Enhanced application started
2026-03-31 11:20:08 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data/logs/diagnostic_platform_20260331.log
2026-03-31 11:20:08 | src.utils.logger_setup | INFO     | <module>:803 | Enhanced application started
2026-03-31 11:20:30 | src.utils.logger_setup | INFO     | log_execution_time:108 | ⏱️ Agent_Execution took 18430.92ms
2026-03-31 11:20:30 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data/logs/diagnostic_platform_20260331.log
2026-03-31 11:20:30 | src.utils.logger_setup | INFO     | <module>:803 | Enhanced application started
2026-03-31 11:22:17 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data/logs/diagnostic_platform_20260331.log
2026-03-31 11:22:17 | src.utils.logger_setup | INFO     | <module>:803 | Enhanced application started
2026-03-31 11:22:17 | src.utils.logger_setup | ERROR    | generate_diagnostic_report_pdf:1195 | Failed to generate PDF: No module named 'reportlab'
2026-03-31 11:23:23 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data/logs/diagnostic_platform_20260331.log
2026-03-31 11:23:23 | src.utils.logger_setup | INFO     | <module>:803 | Enhanced application started
2026-03-31 11:23:44 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data/logs/diagnostic_platform_20260331.log
2026-03-31 11:23:44 | src.utils.logger_setup | INFO     | <module>:803 | Enhanced application started
2026-03-31 11:23:44 | src.utils.logger_setup | ERROR    | generate_diagnostic_report_pdf:1195 | Failed to generate PDF: No module named 'reportlab'
